device_make	device_model	_col2
vivo	V1930A	3
HUAWEI	BLL-L22	30
KYOCERA	X01A	2
hena	M15QF6	11
Mobicel	PX10	23
incar	KDT02	9
samsung	SM-N975X	6
OPPO	PCHM30	5
Xiaomi	23028RNCAH	12
DREAMTECH	KIDDOTAB10	4
Floydwiz_Technologies	Primebook-WiFi	1
OPPO	PDKM00	1
vivo	I2220	599
TCL	9137W	17327
OPPO	CPH2001	5799
Xiaomi	23076PC4BI	8518
HUAWEI	CDY-AN20	163
samsung	SM-A366B	14959
OnePlus	CPH2605	572
itel	itel P651W	33
OPPO	CPH1951	2033
TCL	6159A	246
samsung	SM-S9310	809
OPPO	CPH2067	2732
KYOCERA	KYV47	219
General Mobile	G314	675
reeder	P13_Blue	202
Sony	SO-51F	130
incar	CP20S	186
samsung	SM-G925I	71
samsung	SM-A700H	6
VORTEX	PG65	209
samsung	SM-A205W	125
G-Tab	MEGA12	59
incar	V-Z40 Pro	111
Sony	J3173	252
OnePlus	CPH2415	507
Google	HP Chromebook x360 11 G1 EE	121
Sparx Note 12	Note 12	46
wheatek	Cyber X Pro	86
mipo	mipo_M25	205
Ulefone	Armor 11T 5G	85
TCL	SH-C04	50
N-one	Npad X1	67
OPPO	i14 Pro	37
Google	zork	11
Coolpad	CP3504L	1
incar	IT_701A	63
Vortex	HD67	40
incar	KE-TB816OF	15
KYOCERA	KYG02	1
EXO	TabletEXO_Wave_i101T2	16
incar	BEQUE7S	3
Hena	RATR30824	61
samsung	SM-G925S	1
TCL	5029D	9
samsung	SM-J337V	1
asus	ASUS_X00HD	5
coolpad	2040	3
C20 Pro	pop	2
samsung	SM-A015V	2
RMX	B8	3
TECNO MOBILE	TECNO Mobile LI6	2
alps	K8	1
LENOVO	Lenovo TB-8504F	8
DMOAO	D5_EEA	2
motorola	moto e5 cruise	1
KRIP	K58b	2
LENOVO	Lenovo TB-7305I	1
vivo	vivo V3Max	1
unnecto	UB202	1
Xiaomi	23090RA98G	26851
OPPO	CPH2239	35797
samsung	SM-A605FN	6270
HONOR	WOD-LX3	6115
HUAWEI	LYA-AL10	500
Blackview	Tab 60 Kids	2969
TECNO	TECNO KL8	4944
TECNO	TECNO KM4	474
TECNO	TECNO LJ6	255
G-Tab	C30	359
samsung	SM-X205N	1170
incar	EX7W1 Plus	103
TECNO	TECNO BG6m	1526
HUAWEI	HRY-LX1	6264
samsung	SM-M066B	2391
Positivo	T307F	862
Xiaomi	22021211RG	1634
MEDIACOM	E109GC	28
BLU	M8L Plus	134
HUAWEI	MOA-LX9N	864
asus	ASUS_X018D	123
incar	NOGAPAD101GHD	51
vivo	V2341	926
DOOGEE	N55	253
Deejoy	KIDS707A-708	140
INFINIX MOBILITY LIMITED	Infinix X650D	115
vivo	V2057A	140
iGET	SMART W8 Kids	287
Positivo	"TAB Q10""s"	105
lava	LAVA LZG401	11
Elephone	E10	268
Reliance Communications	RC8L1T-RW	26
Sony	XQ-DQ72	64
tlblePC	tlblePC	20
ZTE	Nubia 4010	27
Masstel	Tab 10.1Pro	112
Vocal	VOCAL V0Core	11
Sony	F5121	21
incar	MLAB_GLOWY8	9
Xiaomi	23117RK66C	14
TCL	9296G_RU	41
samsung	SM-T837A	48
Ulefone	Note_7P	26
Fortune Ship	Wildfire E3 lite	3
wheatek	DT2	24
WINTOUCH	K13	4
SYMPHONY	i68	4
KTE	TK_X20L	1
SNCOIA	QT19101HV	4
MIRAY	TM4G_806	3
Cidea	CM817ProMax	1
samsung	SM-A256E	47133
OPPO	CPH2557	12767
samsung	SM-T225	28143
samsung	SM-F946U1	563
incar	TM4G_1006	131
samsung	SM-A305FN	5019
OPPO	CPH2059	6337
realme	RMX3461	1685
samsung	SM-S236DL	1758
OPPO	CPH2077	199
Xiaomi	25028RN03I	3945
OPPO	CPH2197	6641
TECNO	TECNO AD9	392
Joyar	LRNS10GIL0	1539
TCL	6102A	102
wheatek	WP12 Pro	260
samsung	SM-M526BR	2696
vivo	V2406	1027
samsung	SM-M625F	1521
Blackview	Tab 8E	108
DOOGEE	S200	227
ITEL	itel S685LN	917
motorola	moto g(7) supra	412
SHARP	A208SH	881
incar	CP20	132
HUAWEI	ANE-LX2	633
onn	PP86A_W	99
incar	SP4702	103
KYOCERA	SZJ-JS202	97
Casper	VIA_E30	405
INCAR	S22_T_EEA	12
Lunnen	Lunnen Ground 10.4	290
TG_TECHNOLOGY	TT-787	23
Unihertz	Luna	22
VORTEX	HD68	30
LEXIBOOK	LT10	65
Xiaomi	MI 8 SE	87
